symbol,archetype,history_start,history_end,history_years,data_readiness,financial_quality,earnings_quality,cash_flow_quality,balance_sheet,debt_liquidity,capital_efficiency,capital_allocation,dilution,accounting_consistency,forensic_findings_count,critical_findings,high_findings,medium_findings,deterioration_classification,value_trap,compounder_classification,valuation_status,base_iv,actual_mos,required_mos,mos_gate,final_decision,decision_reason
DNA,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,WATCH,WATCH,PASS,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,39667.99500952543,44.29,38.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 44.3%) đạt/vượt Biên an toàn yêu cầu (38.0%).
DNC,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,PASS,PASS,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,POTENTIAL_COMPOUNDER,READY,41029.649565571046,-20.644462051502938,35.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (POTENTIAL_COMPOUNDER) nhưng mức giá hiện tại (MOS -20.6%) chưa đạt Biên an toàn yêu cầu (35.0%).
DND,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,INCOMPLETE,,,0.0,UNKNOWN,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DNE,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,WATCH,WATCH,WATCH,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,AVERAGE_BUSINESS,READY,24559.469139193116,64.98,43.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 65.0%) đạt/vượt Biên an toàn yêu cầu (43.0%).
DNH,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,PASS,PASS,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,43195.78462881241,-4.18,35.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS -4.2%) chưa đạt Biên an toàn yêu cầu (35.0%).
DNL,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,WATCH,PASS,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,21116.003757070972,2.92,43.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS 2.9%) chưa đạt Biên an toàn yêu cầu (43.0%).
DNM,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,WATCH,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,49452.270189670686,89.89,50.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
DNN,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,PASS,PASS,PASS,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,COMPOUNDER,READY,50654.66183964808,71.18,38.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 71.2%) đạt/vượt Biên an toàn yêu cầu (38.0%).
DNP,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,FAIL,FAIL,PASS,UNKNOWN,PASS,3,0,2,1,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,2072.978611491238,-864.8,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE, EXCESSIVE_DEBT_LEVERAGE)."
DNT,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,PASS,WATCH,WATCH,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,AVERAGE_BUSINESS,READY,10359.630618714187,-253.29,35.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS -253.3%) chưa đạt Biên an toàn yêu cầu (35.0%).
DNW,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,WATCH,PASS,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,34316.276424490745,9.66,40.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS 9.7%) chưa đạt Biên an toàn yêu cầu (40.0%).
DOC,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,2,0,2,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,12949.538273392734,47.49,40.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE)."
DOP,NORMAL_ENTERPRISE,2016,2025,9,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,WATCH,WATCH,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,59260.23682474895,77.05,35.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 77.0%) đạt/vượt Biên an toàn yêu cầu (35.0%).
DP1,NORMAL_ENTERPRISE,2017,2025,9,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,PASS,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,5301.763610489286,-413.04,35.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, EXCESSIVE_DEBT_LEVERAGE)."
DP2,NORMAL_ENTERPRISE,2017,2025,9,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,WATCH,UNKNOWN,PASS,4,0,4,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,5179.815309357094,5.4,45.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
DP3,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,3,0,2,1,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,47149.86653760939,-31.919779561593824,35.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE)."
DPC,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,WATCH,FAIL,WATCH,UNKNOWN,PASS,2,0,2,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,75242.33939748749,89.63,41.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DPG,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,PASS,PASS,UNKNOWN,WATCH,PASS,PASS,UNKNOWN,WATCH,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,POTENTIAL_COMPOUNDER,READY,21012.757859276368,-28.73,45.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (POTENTIAL_COMPOUNDER) nhưng mức giá hiện tại (MOS -28.7%) chưa đạt Biên an toàn yêu cầu (45.0%).
DPH,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,PASS,WATCH,PASS,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,AVERAGE_BUSINESS,READY,88140.44100804655,48.95,35.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 49.0%) đạt/vượt Biên an toàn yêu cầu (35.0%).
DPM,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,WATCH,WATCH,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,16080.652995750646,-39.29782581540225,50.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS -39.3%) chưa đạt Biên an toàn yêu cầu (50.0%).
DPP,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,WATCH,PASS,PASS,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,AVERAGE_BUSINESS,READY,52864.688079268315,49.87,41.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 49.9%) đạt/vượt Biên an toàn yêu cầu (41.0%).
DPR,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,WATCH,2,0,1,1,POSSIBLY_CYCLICAL,HIGH_RISK,WEAK_BUSINESS,READY,50287.0,25.4,40.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
DQC,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,8106.937644403735,-15.95,41.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DRC,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,PASS,WATCH,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,8722.478497001224,-13.73,50.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS -13.7%) chưa đạt Biên an toàn yêu cầu (50.0%).
DRG,NORMAL_ENTERPRISE,2018,2025,8,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,7937.61813292045,0.47,35.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
DRH,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,4,0,4,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,1498.9819223219886,-11.41,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, INVENTORY_BUILDUP, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DRI,NORMAL_ENTERPRISE,2015,2025,11,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,PASS,WATCH,WATCH,UNKNOWN,PASS,2,0,0,2,POSSIBLY_CYCLICAL,WATCH,AVERAGE_BUSINESS,READY,1061.437563392847,-1266.07,30.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS -1266.1%) chưa đạt Biên an toàn yêu cầu (30.0%).
DRL,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,PASS,WATCH,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,26530.079185047296,-60.19552638181933,30.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS -60.2%) chưa đạt Biên an toàn yêu cầu (30.0%).
DSC,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,WATCH,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,13446.211015987077,25.63,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DSD,NORMAL_ENTERPRISE,2021,2025,5,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,2106.5173561169686,-749.74,46.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
DSE,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,PASS,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,14279.07576880441,-52.670945605783544,45.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, EXCESSIVE_DEBT_LEVERAGE)."
DSG,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,2,0,2,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,614.1604525682778,-1023.48,45.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DSH,NORMAL_ENTERPRISE,2023,2025,3,PARTIAL,UNKNOWN,FAIL,FAIL,UNKNOWN,WATCH,PASS,PASS,UNKNOWN,PASS,2,0,1,1,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,101308.29097019539,88.25,50.0,PASS,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE).
DSN,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,PASS,PASS,WATCH,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,AVERAGE_BUSINESS,READY,53454.48222290243,31.34345620080483,40.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS 31.3%) chưa đạt Biên an toàn yêu cầu (40.0%).
DSP,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,INCOMPLETE,,,0.0,UNKNOWN,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DST,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,446.57191031437804,-1400.32,30.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DTA,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,WATCH,UNKNOWN,PASS,4,0,4,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,2446.3572571371055,-39.39,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
DTC,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,WATCH,WATCH,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,AVERAGE_BUSINESS,READY,3884.8614820178204,-8.11,50.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (UNSTABLE_EARNINGS_HISTORY).
DTD,NORMAL_ENTERPRISE,2015,2025,11,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,PASS,PASS,PASS,UNKNOWN,PASS,2,0,0,2,POSSIBLY_CYCLICAL,WATCH,COMPOUNDER,READY,58293.817964421454,81.82,50.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 81.8%) đạt/vượt Biên an toàn yêu cầu (50.0%).
DTG,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,WATCH,WATCH,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,AVERAGE_BUSINESS,READY,133542.11344436256,90.56,35.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 90.6%) đạt/vượt Biên an toàn yêu cầu (35.0%).
DTI,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,WATCH,UNKNOWN,PASS,4,0,4,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,INCOMPLETE,,,0.0,UNKNOWN,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
DTK,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,6919.482923061486,-51.75,38.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
DTL,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,WATCH,UNKNOWN,PASS,4,0,4,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,INCOMPLETE,,,0.0,UNKNOWN,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
DTT,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,29568.728600168593,46.56516952876387,50.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
DUS,NORMAL_ENTERPRISE,2016,2025,9,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,PASS,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,INCOMPLETE,,,0.0,UNKNOWN,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
DVC,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,2,0,1,1,POSSIBLY_CYCLICAL,HIGH_RISK,WEAK_BUSINESS,READY,58423.43678310343,82.88,38.0,PASS,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
DVG,NORMAL_ENTERPRISE,2020,2025,6,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,INCOMPLETE,,,0.0,UNKNOWN,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
DVM,NORMAL_ENTERPRISE,2018,2025,8,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,309029.32100410684,98.51,35.0,PASS,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
DVN,NORMAL_ENTERPRISE,2013,2025,13,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,2,0,2,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,27295.831785514016,36.99,35.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE)."
DVP,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,PASS,PASS,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,51150.6761799013,-44.27961761529621,25.0,FAIL,WAIT_FOR_MOS,Doanh nghiệp có chất lượng tốt (AVERAGE_BUSINESS) nhưng mức giá hiện tại (MOS -44.3%) chưa đạt Biên an toàn yêu cầu (25.0%).
DVW,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,PASS,WATCH,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,67014.58345275126,41.8,35.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 41.8%) đạt/vượt Biên an toàn yêu cầu (35.0%).
DWS,NORMAL_ENTERPRISE,2017,2025,9,READY,UNKNOWN,PASS,PASS,UNKNOWN,FAIL,WATCH,PASS,UNKNOWN,PASS,1,0,1,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,31355.75967822,57.26,41.0,PASS,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (EXCESSIVE_DEBT_LEVERAGE).
DXG,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,WATCH,PASS,UNKNOWN,WATCH,3,0,2,1,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,6352.116060896303,-69.23,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, INVENTORY_BUILDUP)."
DXL,NORMAL_ENTERPRISE,2016,2025,9,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,13818.610182786251,31.98,35.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
DXP,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,WATCH,WATCH,UNKNOWN,PASS,WATCH,PASS,UNKNOWN,PASS,1,0,0,1,POSSIBLY_CYCLICAL,WATCH,AVERAGE_BUSINESS,READY,74200.51526345989,82.61467598412673,35.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 82.6%) đạt/vượt Biên an toàn yêu cầu (35.0%).
DXS,NORMAL_ENTERPRISE,2018,2025,8,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,4,0,3,1,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,5304.405674716766,-1.8,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, INVENTORY_BUILDUP, WEAK_PROFITABILITY_ROE)."
DXV,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,3431.666114042281,2.09,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
E12,NORMAL_ENTERPRISE,2020,2025,6,READY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FAIL,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,10791.281894493944,57.37,45.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
E29,NORMAL_ENTERPRISE,2019,2020,2,INSUFFICIENT,UNKNOWN,PASS,PASS,UNKNOWN,FAIL,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,INSUFFICIENT_DATA,INCOMPLETE,,,0.0,UNKNOWN,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
