symbol,archetype,history_start,history_end,history_years,data_readiness,financial_quality,earnings_quality,cash_flow_quality,balance_sheet,debt_liquidity,capital_efficiency,capital_allocation,dilution,accounting_consistency,forensic_findings_count,critical_findings,high_findings,medium_findings,deterioration_classification,value_trap,compounder_classification,valuation_status,base_iv,actual_mos,required_mos,mos_gate,final_decision,decision_reason
BSL,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,18318.831177906337,31.76,35.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
BSP,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,2,0,2,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,12431.556742457025,-30.31,43.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE)."
BSQ,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,PASS,WATCH,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,32229.961924888583,50.98,43.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 51.0%) đạt/vượt Biên an toàn yêu cầu (43.0%).
BSR,NORMAL_ENTERPRISE,2012,2025,14,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,WATCH,WATCH,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,AVERAGE_BUSINESS,READY,12453.610204052911,-121.22,50.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (UNSTABLE_EARNINGS_HISTORY).
BTB,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,2,0,2,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,26908.131477179708,82.53,43.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
BTD,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,PASS,WATCH,UNKNOWN,PASS,2,0,2,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,103191.63311609835,80.81,46.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, EXCESSIVE_DEBT_LEVERAGE)."
BTG,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,INCOMPLETE,,,0.0,UNKNOWN,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
BTH,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,236331.86092336784,91.88,40.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
BTN,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,WATCH,UNKNOWN,PASS,4,0,4,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,8633.025515595156,71.04,45.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
BTP,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,4707.084620276625,-52.96092126716159,35.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
BTS,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,FAIL,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,13291.462347615723,65.39,50.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY, EXCESSIVE_DEBT_LEVERAGE)."
BTT,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,WATCH,PASS,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,AVERAGE_BUSINESS,READY,194071.74769976578,79.38906591294212,35.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 79.4%) đạt/vượt Biên an toàn yêu cầu (35.0%).
BTU,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,PASS,PASS,UNKNOWN,PASS,0,0,0,0,NO_DETERIORATION,CLEAR,COMPOUNDER,READY,33410.778082085795,55.1,35.0,PASS,BUY,Doanh nghiệp đạt chuẩn chất lượng BCTC và mức giá hiện tại (MOS 55.1%) đạt/vượt Biên an toàn yêu cầu (35.0%).
