symbol,archetype,history_years,receivables_status,receivables_source_type,latest_rec_ratio,latest_dso,dso_3y_change,gap_3y,cash_conversion_3y,value_trap_status,compounder_class,decision
HVA,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
HVH,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
HVN,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
IDC,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
IDI,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
IDJ,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
IJC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ILS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
IMP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
IPA,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ITC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ITD,NORMAL_ENTERPRISE,17,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
IVS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
JVC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
KBC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
KDC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
KDH,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
KHG,NORMAL_ENTERPRISE,8,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
KLB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
KOS,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
KSB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
KSF,NORMAL_ENTERPRISE,8,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
KSV,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
L14,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
L40,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
LAS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
LCG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
LDG,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
LDP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
LGL,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
LHC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
LHG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
