symbol,archetype,history_years,receivables_status,receivables_source_type,latest_rec_ratio,latest_dso,dso_3y_change,gap_3y,cash_conversion_3y,value_trap_status,compounder_class,decision
TLH,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TNG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TNH,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TNI,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TNT,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TOS,NORMAL_ENTERPRISE,7,UNKNOWN,UNKNOWN,,,,,,WATCH,COMPOUNDER,
TPB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
TRC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
TSA,NORMAL_ENTERPRISE,4,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
TSC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TTA,NORMAL_ENTERPRISE,9,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
TTF,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TTH,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TV1,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
TV2,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TVC,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TVD,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TVN,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
TVS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
UNI,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VAB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VBB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VC2,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VC3,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VC7,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VCB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
VCG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VCI,SECURITIES,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
VCK,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VCS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
VDS,SECURITIES,15,NOT_APPLICABLE,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
VEA,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VFS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VGC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
VGI,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
VGR,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
VGS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VGT,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
VHC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
VHE,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VHG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
VHM,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,POTENTIAL_COMPOUNDER,
VIB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
VIC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VIP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
VIW,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VIX,SECURITIES,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,WEAK_BUSINESS,
VJC,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VLB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
VLC,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VND,SECURITIES,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,WEAK_BUSINESS,
VNE,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VNM,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
VNP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VOS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
VPB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
VPG,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VPI,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VPL,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VPX,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VRC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VRE,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
VSC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
VTD,NORMAL_ENTERPRISE,9,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VTO,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
VTP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VTV,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VTZ,NORMAL_ENTERPRISE,8,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
VVS,NORMAL_ENTERPRISE,6,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
YEG,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
