symbol,archetype,history_years,data_readiness,economic_quality,earnings_durability,earnings_quality,balance_sheet,capital_allocation,dilution,accounting_consistency,critical_findings,high_findings,value_trap,compounder_class,decision_state
TTH,NORMAL_ENTERPRISE,12,READY,FAIL,FAIL,UNKNOWN,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
TTL,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TTN,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,PASS,PASS,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TTS,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,PASS,FAIL,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TTT,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TTZ,NORMAL_ENTERPRISE,8,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TUG,NORMAL_ENTERPRISE,10,READY,PASS,WATCH,PASS,PASS,PASS,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TV1,NORMAL_ENTERPRISE,15,READY,WATCH,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TV2,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
TV3,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,WATCH,WATCH,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TV4,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TVA,NORMAL_ENTERPRISE,10,READY,WATCH,FAIL,PASS,PASS,PASS,WATCH,PASS,0,1,HIGH_RISK,AVERAGE_BUSINESS,AVOID
TVB,NORMAL_ENTERPRISE,10,READY,WATCH,WATCH,FAIL,PASS,WATCH,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TVC,NORMAL_ENTERPRISE,13,READY,FAIL,WATCH,UNKNOWN,PASS,PASS,PASS,WATCH,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TVD,NORMAL_ENTERPRISE,15,READY,WATCH,PASS,UNKNOWN,FAIL,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TVG,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TVH,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TVM,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TVN,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,WATCH,WATCH,PASS,WATCH,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
TVS,NORMAL_ENTERPRISE,15,READY,PASS,WATCH,UNKNOWN,WATCH,WATCH,PASS,WATCH,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TVT,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,WATCH,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TXM,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TYA,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,WATCH,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UCT,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,UNKNOWN,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
UDC,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UDJ,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UDL,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UEM,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UIC,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
ULG,NORMAL_ENTERPRISE,1,INSUFFICIENT,FAIL,PASS,UNKNOWN,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,INSUFFICIENT_DATA,AVOID
UMC,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UNI,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UPC,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UPH,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,WATCH,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UPS,NORMAL_ENTERPRISE,5,READY,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
USC,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
USD,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UTT,NORMAL_ENTERPRISE,3,PARTIAL,FAIL,FAIL,WATCH,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
UXC,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
V12,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,FAIL,PASS,WATCH,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
V21,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
V68,NORMAL_ENTERPRISE,0,INSUFFICIENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,CLEAR,INSUFFICIENT_DATA,REVIEW_BUSINESS
VAB,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VAF,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,WATCH,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VAV,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,PASS,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
VBC,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,WATCH,WATCH,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
VBG,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,WATCH,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VBH,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VBT,NORMAL_ENTERPRISE,2,INSUFFICIENT,WATCH,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,INSUFFICIENT_DATA,AVOID
VC1,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VC2,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,WATCH,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VC3,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VC6,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VC7,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VC9,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VCA,NORMAL_ENTERPRISE,10,READY,WATCH,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VCB,BANK,15,READY,PASS,PASS,NOT_APPLICABLE,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
VCC,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,WATCH,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VCE,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VCF,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
VCG,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,WATCH,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VCI,SECURITIES,15,READY,PASS,PASS,NOT_APPLICABLE,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
VCK,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VCM,NORMAL_ENTERPRISE,10,READY,WATCH,WATCH,FAIL,PASS,PASS,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VCP,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,FAIL,PASS,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VCR,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VCS,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
VCT,NORMAL_ENTERPRISE,9,READY,FAIL,FAIL,PASS,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
VCX,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,WATCH,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
VDB,NORMAL_ENTERPRISE,8,READY,PASS,PASS,PASS,FAIL,PASS,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VDG,NORMAL_ENTERPRISE,5,READY,FAIL,WATCH,FAIL,WATCH,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VDL,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,PASS,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
VDN,NORMAL_ENTERPRISE,10,READY,WATCH,FAIL,PASS,FAIL,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VDP,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,PASS,WATCH,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VDS,SECURITIES,15,READY,FAIL,FAIL,NOT_APPLICABLE,PASS,WATCH,WATCH,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VDT,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
VE1,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VE3,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,PASS,WATCH,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VE4,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VE8,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VE9,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VEA,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,WATCH,0,0,WATCH,POTENTIAL_COMPOUNDER,WAIT_FOR_MOS
VEC,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,PASS,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VEF,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,FAIL,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VES,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,PASS,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
VET,NORMAL_ENTERPRISE,10,READY,PASS,WATCH,FAIL,WATCH,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VFC,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,PASS,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VFG,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,PASS,PASS,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VFR,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VFS,NORMAL_ENTERPRISE,15,READY,FAIL,WATCH,UNKNOWN,FAIL,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VGC,NORMAL_ENTERPRISE,15,READY,WATCH,PASS,UNKNOWN,PASS,PASS,PASS,WATCH,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
VGG,NORMAL_ENTERPRISE,10,READY,PASS,PASS,WATCH,WATCH,WATCH,PASS,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
VGI,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,PASS,PASS,WATCH,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
VGL,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
VGP,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VGR,NORMAL_ENTERPRISE,11,READY,PASS,WATCH,UNKNOWN,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
VGS,NORMAL_ENTERPRISE,15,READY,WATCH,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
VGT,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,PASS,WATCH,PASS,WATCH,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VGV,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VHC,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,WATCH,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
VHD,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VHE,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VHF,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VHG,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,WATCH,PASS,WATCH,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VHH,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VHL,NORMAL_ENTERPRISE,10,READY,WATCH,FAIL,PASS,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,AVERAGE_BUSINESS,AVOID
VHM,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
VIB,BANK,15,READY,PASS,PASS,NOT_APPLICABLE,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
VIC,NORMAL_ENTERPRISE,15,READY,FAIL,WATCH,UNKNOWN,FAIL,PASS,PASS,WATCH,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VID,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VIE,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VIF,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VIG,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VIM,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,WATCH,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VIN,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VIP,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VIR,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VIT,NORMAL_ENTERPRISE,10,READY,PASS,WATCH,FAIL,FAIL,WATCH,WATCH,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VIW,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,WATCH,PASS,WATCH,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
VIX,SECURITIES,15,READY,PASS,PASS,NOT_APPLICABLE,PASS,PASS,PASS,PASS,0,0,CLEAR,WEAK_BUSINESS,BUY
VJC,NORMAL_ENTERPRISE,13,READY,FAIL,WATCH,UNKNOWN,FAIL,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VKC,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VLA,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,WATCH,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VLB,NORMAL_ENTERPRISE,15,READY,PASS,WATCH,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
VLC,NORMAL_ENTERPRISE,13,READY,FAIL,PASS,UNKNOWN,PASS,WATCH,PASS,WATCH,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VLG,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VLP,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VLS,NORMAL_ENTERPRISE,3,PARTIAL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VLW,NORMAL_ENTERPRISE,9,READY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
VMA,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,WATCH,FAIL,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VMC,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VMD,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,WATCH,FAIL,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VMG,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VMK,NORMAL_ENTERPRISE,4,PARTIAL,FAIL,PASS,PASS,PASS,PASS,WATCH,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VMS,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,WATCH,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
VMT,NORMAL_ENTERPRISE,8,READY,WATCH,FAIL,FAIL,PASS,WATCH,WATCH,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNA,NORMAL_ENTERPRISE,10,READY,WATCH,FAIL,PASS,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,AVERAGE_BUSINESS,AVOID
VNB,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNC,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,PASS,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
VND,SECURITIES,15,READY,PASS,PASS,NOT_APPLICABLE,PASS,WATCH,WATCH,PASS,0,0,CLEAR,WEAK_BUSINESS,BUY
VNE,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,FAIL,PASS,PASS,WATCH,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNF,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,PASS,WATCH,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNG,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,WATCH,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNH,NORMAL_ENTERPRISE,10,READY,PASS,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNI,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,PASS,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNL,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,PASS,PASS,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNM,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
VNP,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,PASS,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNR,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,WATCH,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNS,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,PASS,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
VNT,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,WATCH,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNX,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,PASS,PASS,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VNY,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,PASS,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
VNZ,NORMAL_ENTERPRISE,5,READY,FAIL,FAIL,UNKNOWN,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VOS,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,PASS,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
VPA,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
VPB,BANK,15,READY,WATCH,WATCH,NOT_APPLICABLE,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
