symbol,archetype,history_years,data_readiness,economic_quality,earnings_durability,earnings_quality,balance_sheet,capital_allocation,dilution,accounting_consistency,critical_findings,high_findings,value_trap,compounder_class,decision_state
SZE,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,PASS,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
SZG,NORMAL_ENTERPRISE,6,READY,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
SZL,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TA9,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,PASS,FAIL,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TAB,NORMAL_ENTERPRISE,3,PARTIAL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TAH,NORMAL_ENTERPRISE,2,INSUFFICIENT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,INSUFFICIENT_DATA,REVIEW_BUSINESS
TAL,NORMAL_ENTERPRISE,4,PARTIAL,WATCH,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TAR,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,WATCH,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TAW,NORMAL_ENTERPRISE,9,READY,WATCH,PASS,FAIL,FAIL,PASS,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TBC,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TBD,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,FAIL,PASS,WATCH,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TBR,NORMAL_ENTERPRISE,9,READY,FAIL,PASS,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TBW,NORMAL_ENTERPRISE,5,READY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TCB,BANK,15,READY,PASS,PASS,NOT_APPLICABLE,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
TCD,NORMAL_ENTERPRISE,10,READY,PASS,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TCH,NORMAL_ENTERPRISE,13,READY,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,WATCH,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TCI,NORMAL_ENTERPRISE,15,READY,FAIL,WATCH,UNKNOWN,WATCH,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TCJ,NORMAL_ENTERPRISE,9,READY,PASS,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TCK,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TCL,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TCM,NORMAL_ENTERPRISE,15,READY,PASS,WATCH,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TCO,NORMAL_ENTERPRISE,15,READY,WATCH,PASS,UNKNOWN,FAIL,PASS,PASS,WATCH,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
