symbol,archetype,balance_sheet_first_fy,balance_sheet_last_fy,balance_sheet_years,income_statement_first_fy,income_statement_last_fy,income_statement_years,cash_flow_first_fy,cash_flow_last_fy,cash_flow_years,canonical_fact_count,raw_fact_count,mapping_coverage_pct,unmapped_count,conflicted_count,valuation_core_ready,business_review_core_ready,value_trap_core_ready,history_band,notes
CLI,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CLX,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CMG,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CMS,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CQN,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CRC,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CRE,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CSM,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CSV,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CTD,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CTF,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CTG,BANK,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CTI,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CTP,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CTR,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CTS,SECURITIES,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
CVN,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
D2D,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DBC,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DBD,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DC4,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DCL,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DCM,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DDB,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
